source,target,source_number_of_posts,source_sentiment,probability_of_post_being_influential,strength_of_link
NNNNY,4,4495,0.518395083,0.224916574,0.909307542
NNNYN,3,5291,0.277452637,0.371763372,0.842862761
NNNYY,3,532,0.266802444,0.34962406,0.478563576
NNNYY,4,532,0.266802444,0.34962406,0.454927124
NNYNN,2,8329,0.549122476,0.28971065,0.819331279
NNYNY,2,943,0.462853446,0.24602333,0.4804415
NNYNY,4,943,0.462853446,0.24602333,0.439904886
NNYYN,2,1742,0.465706889,0.396670494,0.464521866
NNYYN,3,1742,0.465706889,0.396670494,0.459449654
NNYYY,2,3,0.6045,0.666666667,0.316187125
NNYYY,3,3,0.6045,0.666666667,0.355714013
NNYYY,4,3,0.6045,0.666666667,0.305864125
NYNNN,1,5085,0.493849223,0.259783677,0.838195105
NYNNY,1,463,0.32385162,0.285097192,0.46224277
NYNNY,4,463,0.32385162,0.285097192,0.45518962
NYNYN,1,902,0.445799667,0.33481153,0.472305289
NYNYN,3,902,0.445799667,0.33481153,0.455347208
NYNYY,1,4,0.084875,0,0.314477459
NYNYY,3,4,0.084875,0,0.325062323
NYNYY,4,4,0.084875,0,0.335360729
NYYNN,1,1756,0.637967825,0.259681093,0.458547637
NYYNN,2,1756,0.637967825,0.259681093,0.464988458
NYYNY,1,15,0.610006667,0.266666667,0.327964371
NYYNY,2,15,0.610006667,0.266666667,0.332314874
NYYNY,4,15,0.610006667,0.266666667,0.326544691
NYYYN,1,12,0.426633333,0.416666667,0.326227879
NYYYN,2,12,0.426633333,0.416666667,0.331869481
NYYYN,3,12,0.426633333,0.416666667,0.322829032
YNNNN,0,7331,0.350948411,0.341426818,0.845123958
YNNNY,0,571,0.234847636,0.385288967,0.479243889
YNNNY,4,571,0.234847636,0.385288967,0.425367875
YNNYN,0,988,0.313193421,0.392712551,0.461994438
YNNYN,3,988,0.313193421,0.392712551,0.453250784
YNNYY,0,2,0.7177,1,0.308619158
YNNYY,3,2,0.7177,1,0.345802178
YNNYY,4,2,0.7177,1,0.325341074
YNYNN,0,2169,0.505686676,0.340248963,0.458325105
YNYNN,2,2169,0.505686676,0.340248963,0.464572179
YNYNY,0,7,0.4328,0.571428571,0.32624359
YNYNY,2,7,0.4328,0.571428571,0.326867592
YNYNY,4,7,0.4328,0.571428571,0.32843426
YNYYN,0,14,0.518142857,0.5,0.333661485
YNYYN,2,14,0.518142857,0.5,0.324165064
YNYYN,3,14,0.518142857,0.5,0.327678659
YYNNN,0,1186,0.455950337,0.273187184,0.461946161
YYNNN,1,1186,0.455950337,0.273187184,0.463099625
YYNNY,0,4,0,0,0.330034157
YYNNY,1,4,0,0,0.317475353
YYNNY,4,4,0,0,0.336060672
YYNYN,0,4,0.21875,1,0.33356885
YYNYN,1,4,0.21875,1,0.314534097
YYNYN,3,4,0.21875,1,0.323605548
YYYNN,0,14,0.345285714,0.357142857,0.324143136
YYYNN,1,14,0.345285714,0.357142857,0.324226011
YYYNN,2,14,0.345285714,0.357142857,0.335111168
